time,open,high,low,close,SMA 50,SMA 100,SMA 200,Volume,Volume MA,Plot,Plot,Plot,Histogram,MACD,Signal
1685916000,27202.16,27469.71,27054.45,27123.99,27076.486599999975,27293.100800000015,27038.990049999993,2278.66438333,559.6310864840049,27195.4211111112,27155.65666666665,NaN,1.8064633574253737,17.58057746621489,15.774114108789517
1685923200,27120.98,27133.69,26958.07,27056.65,27075.653999999977,27295.979700000014,27040.010349999997,1082.77762794,602.8362663945048,27184.79666666676,27149.716666666653,NaN,-6.817875060141908,7.251770283612132,14.06964534375404
1685930400,27056.91,27086.81,26810.07,26850.87,27068.279999999977,27297.016300000014,27039.930249999994,1683.40130023,667.7805526645049,27143.734444444537,27134.960476190463,NaN,-25.126708153756063,-17.338739848441037,7.787968305315024
1685937600,26847.84,26878.63,26755.53,26825.31,27062.97859999998,27297.429700000015,27039.653149999995,812.12431373,689.0106990795049,27101.687777777868,27119.812380952368,27101.687777777868,-36.98732738208551,-38.44619092229186,-1.4588635402063534
1685944800,26826.31,26842.27,26755.34,26840.89,27064.08739999998,27297.091900000014,27039.37349999999,510.30383366,671.6089863725049,27055.656666666757,27103.69761904761,NaN,-41.47481753329095,-53.30238545682005,-11.827567923529093
1685952000,26839.64,26848.57,26719.52,26779.57,27062.57439999998,27293.759800000014,27038.628199999992,773.99199015,663.9066510160048,27009.988888888984,27078.225238095227,NaN,-45.9187804201773,-69.22604344875072,-23.307263028573416
1685959200,26780.38,26798,26677.38,26773.46,27061.875199999977,27289.53110000001,27038.26609999999,884.74821675,669.3974497280049,26963.823333333425,27059.33333333332,NaN,-46.47446997485666,-81.40035049714425,-34.925880522287585
1685966400,26774.8,26784.55,26646.12,26730.56,27058.13219999998,27285.073200000013,27037.34354999999,1328.1249605,692.8413231660048,26909.307777777867,27041.40952380951,NaN,-46.805862102550954,-93.43320815047628,-46.62734604792532
1685973600,26730.56,26814.54,26001.05,26006,27040.289399999976,27272.808600000008,27032.89644999999,5725.28828919,958.7667445555047,26776.366666666756,26993.343809523798,NaN,-90.37456551580601,-159.59555294268284,-69.22098742687683
1685980800,26002.62,26071.95,25464.58,25764.05,27017.57599999998,27258.779200000008,27027.34744999999,8696.19620043,1369.9223699200047,26625.26222222231,26930.887619047604,NaN,-127.75460991939227,-228.91424982611716,-101.15963990672489
1685988000,25762.05,25767.29,25394.23,25630.39,26992.213599999974,27243.38500000001,27021.096399999988,4750.58462392,1590.8155102450048,26466.78888888898,26863.251428571413,NaN,-152.09420564181556,-291.27739695899436,-139.1831913171788
1685995200,25630.32,25687.41,25524.1,25672.44,26966.364599999983,27228.19140000001,27015.05734999999,1409.06664771,1639.5508698060046,26335.852222222315,26796.8676190476,NaN,-155.42432376976234,-333.46359602938173,-178.0392722596194
1686002400,25669.24,25866.17,25661.92,25732.88,26943.656599999977,27212.699600000014,27009.39284999999,1507.77243913,1694.9620211930046,26214.471111111205,26734.374285714268,NaN,-143.88368775709492,-357.89388195598804,-214.01019419889312
1686009600,25734.58,25765.97,25624.55,25648.13,26918.596399999977,27195.57810000001,27003.173099999985,1066.64832062,1729.7408716015045,26081.942222222315,26662.748571428558,NaN,-132.56507693386314,-379.71654036622203,-247.1514634323589
1686016800,25647.57,25795.03,25612.61,25739.1,26896.86719999998,27177.59450000001,26997.40939999999,796.51396406,1758.4631500980045,25966.334444444536,26592.20904761903,NaN,-110.46278496897031,-385.2299446435718,-274.7671596746015
1686024000,25737.96,25820.89,25732.41,25779.97,26876.204999999976,27156.87120000001,26991.804749999992,540.76978264,1768.0678807270046,25855.946666666758,26524.410952380935,NaN,-85.70562717220662,-381.89919363985973,-296.1935664676531
