time,open,high,low,close,"IXIC, NASDAQ: Open","IXIC, NASDAQ: High","IXIC, NASDAQ: Low","IXIC, NASDAQ: Close",SMA 50,SMA 100,SMA 200,Plot,Volume,Volume MA,Plot,Plot,Plot,Histogram,MACD,Signal
1684515600,26847.25,26973.44,26837.26,26928.63,12651.7388,12670.7248,12642.8045,12643.0001,27060.50979999987,27072.112800000024,26973.252800000013,22493.223349999982,574.17892429,509.53114546000387,26874.40777777769,26874.930000000033,26874.40777777769,15.10790519888836,-33.4236093626605,-48.53151456154886
1684519200,26928.77,26948.55,26888.58,26904.57,12643.0343,12651.8153,12624.0579,12651.2784,27060.351399999872,27066.978600000028,26970.335250000015,22493.223349999982,436.54738718,517.302225325004,26880.18333333325,26873.935714285748,26880.18333333325,15.440279173015178,-29.23116559527989,-44.67144476829507
1684522800,26900.05,26900.05,26794.22,26845.88,12651.1273,12664.5506,12639.0989,12658.1429,27055.42959999987,27061.29160000003,26967.396100000013,22493.223349999982,396.41364074,514.5722445100039,26881.795555555476,26871.342380952417,NaN,11.501002138208271,-30.29519209553473,-41.796194233743
1684526400,26846.2,26884.38,26823.21,26843.17,12658.5866,12658.5866,12657.8973,12657.8973,27050.31119999987,27054.70010000003,26964.538250000016,22493.223349999982,329.12328804,515.173279087004,26879.15999999992,26872.012380952416,NaN,8.637140128371996,-30.999769073278003,-39.63690920165
1684530000,26842.89,26915.22,26840.56,26915.07,NaN,NaN,NaN,NaN,27040.884799999872,27048.676700000025,26963.045900000012,22493.223349999982,277.24901884,513.694032033504,26878.508888888806,26872.872380952413,NaN,11.339205908766381,-25.46290181569202,-36.8021077244584
1684533600,26914.72,26924.84,26873.63,26881.14,NaN,NaN,NaN,NaN,27031.619799999873,27043.00190000003,26961.73715000001,22493.223349999982,247.08714816,504.73478805650393,26878.554444444362,26875.863333333367,NaN,10.608572939206326,-23.5413915504505,-34.149964489656824
1684537200,26881.4,26909.65,26875.39,26895.42,NaN,NaN,NaN,NaN,27022.053199999868,27037.711100000022,26960.20695000001,22525.221399999977,276.58528677,504.936184508004,26884.353333333253,26879.92000000003,NaN,10.817162372203292,-20.62851152440271,-31.445673896606003
1684540800,26894.17,26919.6,26844.8,26860.04,NaN,NaN,NaN,NaN,27012.434799999868,27032.719600000022,26958.755050000014,22525.221399999977,242.23222416,510.28501322050397,26880.266666666586,26880.540000000026,26880.266666666586,8.409663922289138,-20.93359399374458,-29.343257916033718
1684544400,26860.94,26895.12,26859.09,26873.85,NaN,NaN,NaN,NaN,27001.71639999987,27027.681700000026,26958.45665000001,22525.221399999977,140.66528121,505.39094821050395,26883.085555555474,26880.106190476217,26883.085555555474,7.608680874369188,-19.832406823072233,-27.44108769744142
1684548000,26873.74,26885.67,26851.52,26853.48,NaN,NaN,NaN,NaN,26991.465999999877,27023.018900000025,26957.80605000001,22525.221399999977,102.31400443,498.1569315630039,26874.73555555547,26878.418571428596,26874.73555555547,5.657989939900133,-20.368600272566255,-26.026590212466388
